Soal;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31;s32;s33;s34;s35;s36;s37;s38;s39;s40;s41;s42;s43;s44;s45;s46;s47;s48;s49;s50;s51;s52;s53;s54;s55;s56;s57;s58;s59;s60;s61;s62;s63;s64
11;0;0;3,3;3,3;3,3;0;3,3;0;0;0;3,3;0;3,3;0;0;0;0;0;0;3,3;0;3,3;0;0;0;3,3;3,3;3,3;0;0;0;0;0;0;3,3;3,3;3,3;0;0;3,3;0;3,3;3,3;0;3,3;3,3;0;0;0;0;0;3,3;0;3,3;0;0;3,3;0;0;0;0;0;0;0
12;0;0;0;3,3;0;0;0;3,3;0;0;0;0;0;0;3,3;0;0;0;3,3;3,3;0;0;3,3;0;0;0;3,3;3,3;0;0;0;0;0;3,3;3,3;3,3;0;3,3;3,3;0;3,3;0;0;0;0;0;0;0;0;3,3;0;0;0;0;0;0;3,3;0;0;0;0;0;0;3,3
13;0;3,3;0;0;3,3;3,3;3,3;0;0;0;0;0;0;0;0;0;0;0;3,3;3,3;0;0;0;3,3;0;3,3;0;3,3;0;0;3,3;0;3,3;0;0;3,3;0;3,3;0;0;0;3,3;3,3;3,3;0;3,3;0;0;0;0;0;0;0;3,3;0;0;3,3;0;3,3;0;0;0;0;0
14;3,3;3,3;0;3,3;3,3;0;3,3;3,3;0;0;0;0;0;0;3,3;0;0;0;3,3;3,3;3,3;0;0;3,3;0;0;0;0;0;3,3;0;3,3;3,3;0;0;0;3,3;0;3,3;3,3;3,3;0;3,3;3,3;0;0;0;0;3,3;0;0;0;3,3;0;0;3,3;0;0;0;0;0;0;0;3,3
15;0;0;3,3;3,3;0;0;0;0;0;0;0;0;0;0;0;3,3;0;0;0;0;0;3,3;3,3;0;3,3;3,3;0;3,3;0;0;0;0;3,3;3,3;3,3;0;0;0;0;3,3;0;0;3,3;0;0;3,3;3,3;0;0;0;3,3;0;0;3,3;0;0;0;0;0;0;0;3,3;0;3,3
16;0;3,3;0;3,3;3,3;0;3,3;3,3;3,3;0;0;0;0;0;0;0;0;0;3,3;3,3;0;3,3;3,3;0;0;0;0;3,3;3,3;0;0;0;0;0;3,3;3,3;0;0;3,3;0;0;0;3,3;3,3;0;3,3;0;0;0;0;0;0;0;0;0;0;0;0;3,3;0;3,3;0;0;0
17;0;0;3,3;0;3,3;0;0;0;3,3;3,3;3,3;3,3;0;3,3;0;3,3;3,3;0;3,3;0;0;0;0;0;0;3,3;3,3;0;3,3;0;3,3;0;3,3;3,3;0;3,3;0;0;0;0;3,3;0;3,3;0;3,3;0;0;0;0;0;0;0;0;3,3;0;0;3,3;0;0;3,3;3,3;0;0;0
18;0;3,3;0;0;0;3,3;3,3;3,3;0;0;0;3,3;3,3;3,3;3,3;0;0;3,3;3,3;0;0;3,3;3,3;0;0;3,3;3,3;3,3;0;0;0;0;0;3,3;0;0;0;3,3;0;0;0;3,3;0;3,3;0;3,3;0;0;0;3,3;0;3,3;0;0;0;3,3;3,3;3,3;0;0;3,3;0;0;3,3
19;3,3;0;3,3;3,3;3,3;0;0;3,3;0;0;0;3,3;0;0;0;3,3;3,3;3,3;3,3;3,3;3,3;3,3;0;3,3;3,3;3,3;3,3;3,3;0;3,3;0;0;0;3,3;0;3,3;3,3;0;3,3;0;0;0;3,3;3,3;0;0;0;0;0;0;0;0;0;0;0;0;3,3;3,3;0;3,3;0;3,3;0;3,3
20;0;0;3,3;3,3;3,3;0;0;3,3;3,3;0;0;0;0;3,3;0;0;0;0;0;3,3;0;0;3,3;3,3;0;3,3;3,3;0;3,3;0;0;0;0;0;0;3,3;0;0;0;0;3,3;0;3,3;0;0;0;0;0;0;0;3,3;0;3,3;0;0;0;3,3;0;0;0;0;0;0;0
21;0;0;0;3,3;0;0;3,3;3,3;3,3;0;0;3,3;3,3;3,3;0;3,3;3,3;0;3,3;3,3;3,3;3,3;0;0;0;3,3;0;3,3;0;0;3,3;0;0;0;0;0;0;0;3,3;0;0;0;0;0;3,3;3,3;0;3,3;3,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;3,3;3,3;3,3;0;3,3;0;3,3;0;3,3;0;0;3,3;3,3;0;0;0;3,3;0;0;0;0;3,3;0;3,3;3,3;0;0;0;0;0;0;0;3,3;3,3;0;3,3;0;3,3;3,3;0;3,3;0;0;0;0;0;0;0;0;0;3,3;3,3;3,3;0;0;0;0;0;0;0;0;3,3
23;3,3;3,3;0;3,3;0;3,3;0;0;3,3;0;0;0;0;0;3,3;0;0;0;3,3;3,3;3,3;0;0;0;0;3,3;0;0;3,3;3,3;0;0;0;3,3;0;0;3,3;3,3;3,3;0;3,3;0;0;0;0;3,3;0;0;0;3,3;0;3,3;0;0;3,3;0;0;0;0;0;3,3;0;0;3,3
24;0;0;0;0;0;0;3,3;3,3;0;0;0;0;0;0;3,3;0;0;0;3,3;3,3;0;3,3;3,3;3,3;0;0;0;0;0;0;3,3;0;3,3;0;0;3,3;0;0;0;3,3;3,3;3,3;3,3;0;3,3;3,3;0;0;0;3,3;0;0;3,3;3,3;0;3,3;0;0;3,3;3,3;3,3;3,3;0;0
25;0;0;0;3,3;3,3;3,3;0;0;3,3;3,3;0;0;0;0;3,3;3,3;3,3;0;0;3,3;0;0;3,3;3,3;0;3,3;3,3;0;0;0;0;3,3;0;3,3;3,3;3,3;0;3,3;0;3,3;0;0;3,3;0;0;3,3;0;0;0;3,3;0;0;0;0;3,3;0;3,3;3,3;0;0;0;0;0;0
26;3,3;0;3,3;3,3;3,3;0;3,3;0;3,3;3,3;0;0;3,3;3,3;3,3;3,3;0;0;3,3;0;0;0;0;0;3,3;0;0;3,3;3,3;0;3,3;0;0;0;3,3;0;0;3,3;3,3;0;0;0;3,3;0;3,3;3,3;0;0;0;0;3,3;0;0;0;3,3;0;0;0;0;0;0;3,3;0;0
27;3,3;0;3,3;0;0;0;0;0;0;0;3,3;3,3;3,3;3,3;0;0;0;3,3;0;3,3;0;0;0;3,3;0;0;3,3;0;3,3;0;0;0;0;0;0;3,3;0;3,3;3,3;0;0;0;0;0;0;0;3,3;0;0;3,3;0;0;3,3;0;0;0;0;0;0;3,3;3,3;0;0;0
28;0;0;0;0;3,3;0;0;0;0;0;0;0;0;3,3;0;0;0;0;3,3;3,3;0;0;3,3;3,3;0;3,3;0;0;0;3,3;0;0;0;0;3,3;3,3;0;0;0;0;3,3;0;3,3;0;3,3;3,3;0;3,3;3,3;0;0;0;0;3,3;3,3;3,3;3,3;0;0;0;0;3,3;0;0
29;3,3;3,3;3,3;0;3,3;0;3,3;0;3,3;0;0;0;0;0;3,3;3,3;0;0;0;3,3;3,3;3,3;3,3;0;0;3,3;0;3,3;0;0;0;0;0;0;0;0;0;3,3;3,3;3,3;3,3;0;3,3;3,3;0;3,3;0;0;0;0;0;0;0;3,3;0;0;0;0;0;0;0;0;0;0
30;0;3,3;3,3;0;0;0;3,3;0;3,3;0;3,3;0;0;0;0;3,3;3,3;0;3,3;3,3;3,3;3,3;0;0;3,3;3,3;0;3,3;0;3,3;3,3;3,3;0;0;0;0;0;0;3,3;0;3,3;0;0;0;0;0;0;0;3,3;0;0;0;0;0;0;3,3;3,3;0;0;3,3;0;0;0;0
